2026-03-24 16:32:50,955 | __main__ | INFO | W&B run initialized: charmed-wind-3
2026-03-24 16:32:50,956 | __main__ | INFO | Loading raw data...
2026-03-24 16:32:50,992 | __main__ | INFO | Raw data loaded: 7043 rows, 21 columns
2026-03-24 16:32:50,994 | __main__ | INFO | Cleaning data...
2026-03-24 16:32:50,998 | __main__ | INFO | Clean data: 7043 rows, 21 columns
2026-03-24 16:32:51,075 | __main__ | INFO | Validating data schema...
2026-03-24 16:32:51,076 | __main__ | INFO | Validation passed.
2026-03-24 16:32:51,077 | __main__ | INFO | Training model...
2026-03-24 16:32:51,078 | src.features | INFO | Building feature preprocessing recipe...
2026-03-24 16:32:51,082 | __main__ | INFO | Evaluating model...
2026-03-24 16:32:51,084 | __main__ | INFO | Metrics logged to W&B: {'train_f1': 0.75, 'test_f1': 0.72}
2026-03-24 16:32:53,476 | __main__ | INFO | Model artifact 'churn-model' logged with alias 'prod'
2026-03-24 16:32:53,630 | __main__ | INFO | Log artifact uploaded to W&B.
